Id,ShopDate,Store,Item,Shelf,Unit,Quantity, Price 
676,11/18/2017,Aldi,Broccoli,Fruit and veg,Kilogram,1, 0.52 
677,11/18/2017,Aldi,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.06 
678,11/18/2017,Aldi,Own brand yoghurts,Dairy,Each,1, 0.40 
679,11/18/2017,Aldi,Cheddar,Dairy,Kilogram,3, 2.04 
680,11/18/2017,Aldi,White sliced bread,Groceries,500 gm loaf,1, 0.68 
681,11/18/2017,Aldi,Onions,Fruit and veg,Kilogram,2, 0.52 
682,11/18/2017,Aldi,Teabags,Groceries,Box of 80,1, 1.06 
683,11/18/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.09 
684,11/18/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.19 
685,11/18/2017,Aldi,Baked beans,Groceries,4 tin pack,1, 1.28 
686,11/18/2017,Aldi,Eggs,Groceries,Box of 12 large,1, 1.58 
687,11/18/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.29 
688,11/22/2017,Co-op,Bramley apples,Fruit and veg,Kilogram,1, 1.08 
689,11/22/2017,Co-op,Bananas,Fruit and veg,Kilogram,1, 0.77 
690,11/22/2017,Co-op,Chicken portions,Meat,Kilogram,3, 1.63 
691,11/22/2017,Co-op,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.32 
692,11/22/2017,Co-op,Cheddar,Dairy,Kilogram,1, 2.42 
693,11/22/2017,Co-op,Muesli,Groceries,Kilogram bag,1, 2.75 
694,11/22/2017,Co-op,Beef mince,Meat,Kilogram,2, 4.95 
695,11/22/2017,Co-op,Multigrain bread,Groceries,500 gm loaf,1, 1.05 
696,11/22/2017,Co-op,Onions,Fruit and veg,Kilogram,1, 0.66 
697,11/22/2017,Co-op,Teabags,Groceries,Box of 80,2, 1.34 
698,11/22/2017,Co-op,Coffee beans,Groceries,Standard box,1, 2.59 
699,11/22/2017,Co-op,Vimto squash,Groceries,Standard bottle,3, 1.43 
700,11/22/2017,Co-op,Baked beans,Groceries,4 tin pack,1, 1.58 
701,11/22/2017,Co-op,Margarita pizzas,Groceries,"12"" diameter",1, 2.80 
702,11/29/2017,Tesco,Broccoli,Fruit and veg,Kilogram,1, 0.61 
703,11/29/2017,Tesco,Activia yoghurts,Dairy,4 pack,3, 1.30 
704,11/29/2017,Tesco,Own brand yoghurts,Dairy,Each,3, 0.45 
705,11/29/2017,Tesco,Muesli,Groceries,Kilogram bag,1, 2.47 
706,11/29/2017,Tesco,Beef mince,Meat,Kilogram,3, 4.63 
707,11/29/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,1, 0.96 
708,11/29/2017,Tesco,Onions,Fruit and veg,Kilogram,3, 0.60 
709,11/29/2017,Tesco,Butter,Dairy,250 gm pack,1, 1.38 
710,11/29/2017,Tesco,Coffee beans,Groceries,Standard box,1, 2.32 
711,11/29/2017,Tesco,Baked beans,Groceries,4 tin pack,2, 1.37 
712,11/29/2017,Tesco,Eggs,Groceries,Box of 12 large,3, 1.76 
713,11/29/2017,Tesco,Margarita pizzas,Groceries,"12"" diameter",1, 2.50 
714,12/3/2017,Tesco,Bananas,Fruit and veg,Kilogram,1, 0.69 
715,12/3/2017,Tesco,Carrots,Fruit and veg,Kilogram,1, 0.49 
716,12/3/2017,Tesco,Chicken portions,Meat,Kilogram,1, 1.47 
717,12/3/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.22 
718,12/3/2017,Tesco,Cheddar,Dairy,Kilogram,1, 2.17 
719,12/3/2017,Tesco,Beef mince,Meat,Kilogram,3, 4.58 
720,12/3/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,1, 0.97 
721,12/3/2017,Tesco,White sliced bread,Groceries,500 gm loaf,1, 0.75 
722,12/3/2017,Tesco,Coffee beans,Groceries,Standard box,2, 2.30 
723,12/3/2017,Tesco,Eggs,Groceries,Box of 12 large,3, 1.76 
724,12/6/2017,Asda,Gala apples,Fruit and veg,Kilogram,1, 0.77 
725,12/6/2017,Asda,Bananas,Fruit and veg,Kilogram,1, 0.65 
726,12/6/2017,Asda,Chicken portions,Meat,Kilogram,3, 1.40 
727,12/6/2017,Asda,Cheddar,Dairy,Kilogram,1, 2.15 
728,12/6/2017,Asda,Muesli,Groceries,Kilogram bag,2, 2.42 
729,12/6/2017,Asda,Special K red berries,Groceries,500gm box,2, 2.87 
730,12/6/2017,Asda,White sliced bread,Groceries,500 gm loaf,2, 0.73 
731,12/6/2017,Asda,Onions,Fruit and veg,Kilogram,3, 0.56 
732,12/6/2017,Asda,Butter,Dairy,250 gm pack,1, 1.30 
733,12/6/2017,Asda,Vimto squash,Groceries,Standard bottle,3, 1.23 
734,12/6/2017,Asda,Baked beans,Groceries,4 tin pack,1, 1.37 
735,12/6/2017,Asda,Tomato ketchup,Groceries,Standard bottle,1, 0.79 
736,12/6/2017,Asda,Margarita pizzas,Groceries,"12"" diameter",1, 2.42 
737,12/7/2017,Marks and Spencer,Bramley apples,Fruit and veg,Kilogram,1, 1.12 
738,12/7/2017,Marks and Spencer,Bananas,Fruit and veg,Kilogram,1, 0.79 
739,12/7/2017,Marks and Spencer,Broccoli,Fruit and veg,Kilogram,1, 0.67 
740,12/7/2017,Marks and Spencer,Carrots,Fruit and veg,Kilogram,3, 0.58 
741,12/7/2017,Marks and Spencer,White sliced bread,Groceries,500 gm loaf,2, 0.86 
742,12/7/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,1, 0.80 
743,12/7/2017,Marks and Spencer,Onions,Fruit and veg,Kilogram,3, 0.67 
744,12/7/2017,Marks and Spencer,Butter,Dairy,250 gm pack,2, 1.59 
745,12/7/2017,Marks and Spencer,Coffee beans,Groceries,Standard box,1, 2.66 
746,12/7/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,1, 1.52 
747,12/7/2017,Marks and Spencer,Margarita pizzas,Groceries,"12"" diameter",1, 2.89 
748,12/8/2017,Morrison,Bramley apples,Fruit and veg,Kilogram,1, 0.97 
749,12/8/2017,Morrison,Carrots,Fruit and veg,Kilogram,1, 0.49 
750,12/8/2017,Morrison,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.17 
751,12/8/2017,Morrison,Beef mince,Meat,Kilogram,1, 4.36 
752,12/8/2017,Morrison,White sliced bread,Groceries,500 gm loaf,3, 0.74 
753,12/8/2017,Morrison,Potatoes,Fruit and veg,Kilogram,1, 0.69 
754,12/8/2017,Morrison,Onions,Fruit and veg,Kilogram,3, 0.58 
755,12/8/2017,Morrison,Vimto squash,Groceries,Standard bottle,1, 1.28 
756,12/13/2017,Aldi,Gala apples,Fruit and veg,Kilogram,1, 0.73 
757,12/13/2017,Aldi,Carrots,Fruit and veg,Kilogram,3, 0.45 
758,12/13/2017,Aldi,Chicken portions,Meat,Kilogram,1, 1.34 
759,12/13/2017,Aldi,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.06 
760,12/13/2017,Aldi,Activia yoghurts,Dairy,4 pack,1, 1.18 
761,12/13/2017,Aldi,Own brand yoghurts,Dairy,Each,1, 0.39 
762,12/13/2017,Aldi,Cheddar,Dairy,Kilogram,3, 2.04 
763,12/13/2017,Aldi,Muesli,Groceries,Kilogram bag,2, 2.19 
764,12/13/2017,Aldi,Potatoes,Fruit and veg,Kilogram,3, 0.65 
765,12/13/2017,Aldi,Onions,Fruit and veg,Kilogram,1, 0.55 
766,12/13/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.13 
767,12/13/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.20 
768,12/13/2017,Aldi,Baked beans,Groceries,4 tin pack,1, 1.24 
769,12/13/2017,Aldi,Eggs,Groceries,Box of 12 large,1, 1.60 
770,12/13/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.24 
771,12/15/2017,Marks and Spencer,Bramley apples,Fruit and veg,Kilogram,1, 1.14 
772,12/15/2017,Marks and Spencer,Bananas,Fruit and veg,Kilogram,1, 0.82 
773,12/15/2017,Marks and Spencer,Cheddar,Dairy,Kilogram,1, 2.48 
774,12/15/2017,Marks and Spencer,Muesli,Groceries,Kilogram bag,1, 2.82 
775,12/15/2017,Marks and Spencer,Multigrain bread,Groceries,500 gm loaf,3, 1.07 
776,12/15/2017,Marks and Spencer,White sliced bread,Groceries,500 gm loaf,1, 0.88 
777,12/15/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,1, 0.79 
778,12/15/2017,Marks and Spencer,Teabags,Groceries,Box of 80,1, 1.37 
779,12/15/2017,Marks and Spencer,Coffee beans,Groceries,Standard box,1, 2.62 
780,12/15/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,1, 1.49 
781,12/15/2017,Marks and Spencer,Baked beans,Groceries,4 tin pack,3, 1.60 
782,12/15/2017,Marks and Spencer,Tomato ketchup,Groceries,Standard bottle,1, 0.98 
783,12/15/2017,Marks and Spencer,Eggs,Groceries,Box of 12 large,1, 2.06 
784,12/15/2017,Marks and Spencer,Margarita pizzas,Groceries,"12"" diameter",1, 2.92 
785,12/19/2017,Morrison,Bramley apples,Fruit and veg,Kilogram,1, 0.98 
786,12/19/2017,Morrison,Chicken portions,Meat,Kilogram,1, 1.48 
787,12/19/2017,Morrison,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.16 
788,12/19/2017,Morrison,Activia yoghurts,Dairy,4 pack,1, 1.30 
789,12/19/2017,Morrison,Own brand yoghurts,Dairy,Each,1, 0.44 
790,12/19/2017,Morrison,Cheddar,Dairy,Kilogram,1, 2.17 
791,12/19/2017,Morrison,Muesli,Groceries,Kilogram bag,1, 2.50 
792,12/19/2017,Morrison,Special K red berries,Groceries,500gm box,1, 3.00 
793,12/19/2017,Morrison,Potatoes,Fruit and veg,Kilogram,1, 0.67 
794,12/19/2017,Morrison,Teabags,Groceries,Box of 80,2, 1.16 
795,12/19/2017,Morrison,Baked beans,Groceries,4 tin pack,1, 1.41 
796,12/19/2017,Morrison,Tomato ketchup,Groceries,Standard bottle,1, 0.82 
797,12/19/2017,Morrison,Margarita pizzas,Groceries,"12"" diameter",1, 2.40 
